"participant_lab_ID","session","condition","aperiodic_offset","aperiodic_exponent","aperiodic_knee","r_squared","fit_error","n_peaks","theta_adj","alpha_adj","beta_adj","specparam_iaf","theta_raw","alpha_raw","beta_raw"
37,2,"eyes_closed",1.30259440193776,1.98313926702077,NA,0.850240306652149,0.322727255766106,1,0,1.32480188507727,0,11.2131538225446,3.20700878134144,19.0461613725372,3.20758885755151
38,2,"eyes_closed",0.576687178451815,1.0134135737457,NA,0.879269395228114,0.155449257786514,1,0,1.0031814404013,0,9.55972130912326,2.55843203851755,8.95712758440478,4.43468085595091
39,2,"eyes_closed",1.92766910300807,2.0680643745001,NA,0.943883370911159,0.213641145287323,1,0,1.28921203472183,0,8.82184811364415,34.7045081644862,53.2810988099716,6.00223351073532
40,2,"eyes_closed",1.745457658219,2.00591129528785,NA,0.803655243004002,0.412135063934996,1,0,1.51929237048217,0,11,16.9080169688228,64.1930959714815,13.5258906002615
41,2,"eyes_closed",0.890702323552677,1.53816672598437,NA,0.963505705438905,0.0906556756994838,1,0,0,0.280078502615839,NA,2.31000203140194,1.29025909669714,2.26093434632663
42,2,"eyes_closed",1.03242216267932,1.32745563932272,NA,0.826259535407943,0.276323839506931,1,0,1.58526477715715,0,10.7815827003631,3.64747842302088,57.6181633525291,9.05426794175882
43,2,"eyes_closed",1.29444365493357,1.87608688558196,NA,0.642427389329279,0.589300626093994,1,0,1.75701150567666,0,9,11.2002571804575,68.3597538025503,11.7359108327149
44,2,"eyes_closed",1.48459346960516,1.97669239478735,NA,0.830313344592082,0.372943363034827,1,0,1.80644429006355,0,11.0487156584773,3.92314192578287,54.5688585598195,5.67989805447769
45,2,"eyes_closed",1.78703317879,2.0841627939259,NA,0.792724591016106,0.453251315886654,1,0,1.85130151169478,0,10.5,15.6546120111233,96.5209237245146,12.9373966043051
46,2,"eyes_closed",0.871922086441401,1.68299656667386,NA,0.901354707640094,0.259503936184475,2,0,1.79776153348989,1.04289798642751,11.5,3.09857985615141,24.2323910486099,8.6993023358577
47,2,"eyes_closed",1.07568831180919,1.40369729120713,NA,0.837219413872232,0.261151970686103,1,0,1.33947871529689,0,11.3629501569093,4.30976468060817,30.1246223684608,7.8875344608247
48,2,"eyes_closed",1.08099857682008,1.49327876401409,NA,0.856206667357385,0.210890636995535,1,0,1.00518529947294,0,11.1149965625887,3.20249412094033,6.74487532004811,4.44919023508165
49,2,"eyes_closed",1.31318497508209,1.76798815618416,NA,0.891721365240447,0.238173005470266,1,0,1.39211798852047,0,10.5996665090129,3.49259528155997,20.7096839673449,3.69111517180196
50,2,"eyes_closed",1.29001442199961,1.6545492770516,NA,0.879763757428211,0.280967942984325,1,0,1.47495843537104,0,10.8495050243484,8.4119012692524,55.9006386440951,6.8131773716018
51,2,"eyes_closed",1.92572021941978,1.88023015067145,NA,0.688815694969541,0.382343068833411,0,0,0,0,NA,8.79810718869642,7.82058762156369,11.4337173814968
52,2,"eyes_closed",1.59889161597686,1.58945224537595,NA,0.731644768377416,0.478579991328298,1,0,1.71431390608056,0,9,65.1567336355495,224.410388749163,37.6016932360849
53,2,"eyes_closed",0.83106878167731,1.39912979551063,NA,0.922748038780157,0.18432526860102,2,0,1.08260797946726,0.886061403139841,10,4.72548608041793,13.690655975413,11.4014449803843
54,2,"eyes_closed",1.10336609093782,1.67265301265107,NA,0.656014669889486,0.500927331139429,1,0,1.84222968607423,0,10.5,3.58153067300775,37.2500927235087,9.87442509611205
55,2,"eyes_closed",0.699188576348379,1.41829420338847,NA,0.602802867123261,0.451675909000062,1,0,1.38647726016236,0,11.5,2.99007852719632,13.327714764027,8.7260429903608
56,2,"eyes_closed",2.02799164968402,2.10358988103599,NA,0.792798882527353,0.462656670499795,1,0,1.99689115507266,0,10.5,36.3868996210866,184.839165904427,21.7183608747915
57,2,"eyes_closed",1.01688171510295,1.39211091493607,NA,0.551677669648614,0.475482136110373,1,0,1.55597166868623,0,11.5,5.32236162614791,34.2070868982034,16.6661484478078
58,2,"eyes_closed",1.09479076601577,1.72502631627592,NA,0.766960339544066,0.382203509880554,1,0,1.70093687885669,0,11,3.90321468226477,21.6580121632394,5.29414118742615
59,2,"eyes_closed",2.38285143674658,2.31871797376981,NA,0.793417737278337,0.476642798456708,1,0,1.4976363758619,0,9.53682606052989,41.6281057785278,177.645838632644,24.1776923081759
60,2,"eyes_closed",1.17670801021291,1.94308780032936,NA,0.756640306314265,0.459987808045662,1,0,1.47139687855075,0,9.81409793657563,5.43046549664887,26.1085504746804,4.00538889159676
61,2,"eyes_closed",1.02714716039268,1.33209896679897,NA,0.918442350655709,0.20668733715691,1,0,1.90390724693546,0,11.3024392110675,3.58505183027876,90.9859554896054,8.35329875514369
62,2,"eyes_closed",0.958636621699296,1.44426845733379,NA,0.837857016200624,0.271141525523191,1,0,0.939411038922602,0,12.4254503036384,4.11012318002769,18.4252224318476,8.51275346000105
63,2,"eyes_closed",1.01162182148254,1.66199330926643,NA,0.801731768350882,0.368662225049606,1,0,1.55037738595727,0,10,3.95093230324601,26.4269653928363,5.11216890026342
64,2,"eyes_closed",1.41615355256632,2.1474242276809,NA,0.873046563228591,0.342938874224378,1,0,1.3180190226339,0,12.4455984265101,4.97026127727048,19.9988020909889,7.08667008205166
65,2,"eyes_closed",1.22442227037529,1.86722348421173,NA,0.88724941900752,0.230673282996013,1,0,0,0.929889540260427,NA,2.79439728520072,4.86453185002986,6.45006215039613
