participant_home_ID,session,task,duration_min,n_events,participant_lab_ID,language
mtjw7,5,stroop,3.1276333333333333,217,57,Mini-English
mvse0,5,stroop,2.9704333333333333,237,52,Mini-Norwegian
noyy6,5,stroop,4.04005,237,25,Mini-English
pson3,5,stroop,3.5074666666666667,237,5,Mini-English
pwck3,5,stroop,3.7904833333333334,237,50,Mini-Norwegian
qdvg4,5,stroop,4.59595,237,7,Mini-English
qlhb2,5,stroop,3.44115,237,27,Mini-English
rodf4,5,stroop,3.8000833333333333,237,58,Mini-Norwegian
rsnb6,5,stroop,3.5473166666666667,237,65,Mini-English
rvax5,5,stroop,3.0977333333333332,237,16,Mini-Norwegian
sjnh6,5,stroop,6.376783333333333,229,49,Mini-English
swbd5,5,stroop,3.41925,237,47,Mini-English
sxhv6,5,stroop,4.495566666666667,237,53,Mini-English
trpu0,5,stroop,5.29765,237,51,Mini-English
usjs8,5,stroop,4.320533333333334,237,29,Mini-English
uwfo3,5,stroop,4.291166666666666,237,61,Mini-English
uyxx3,5,stroop,3.0308,237,11,Mini-English
wjob1,5,stroop,3.3518166666666667,237,22,Mini-Norwegian
xqls8,5,stroop,15.956883333333334,237,3,Mini-English
ymoq6,5,stroop,3.430616666666667,237,62,Mini-Norwegian
yozx4,5,stroop,3.7965333333333335,237,30,Mini-Norwegian
yzud1,5,stroop,3.9872666666666667,237,42,Mini-Norwegian
zhao8,5,stroop,3.7264,237,26,Mini-Norwegian
zllv8,5,stroop,3.578333333333333,237,31,Mini-English
ztwr3,5,stroop,4.956383333333333,237,21,Mini-English
zuff1,5,stroop,3.3750833333333334,237,36,Mini-Norwegian
zuwa4,5,stroop,3.0877166666666667,237,19,Mini-English
ahsw7,5,digit_span,14.48765,582,24,Mini-Norwegian
awfh6,5,digit_span,13.497316666666666,583,56,Mini-Norwegian
bder6,5,digit_span,23.08285,583,40,Mini-Norwegian
cgju5,5,digit_span,10.003033333333333,583,34,Mini-Norwegian
chkk1,5,digit_span,14.316133333333333,588,41,Mini-English
crar9,5,digit_span,12.2129,586,10,Mini-Norwegian
dbrb5,5,digit_span,11.907366666666666,584,23,Mini-English
dzyb1,5,digit_span,12.413733333333333,587,54,Mini-Norwegian
exdq7,5,digit_span,10.965116666666667,585,9,Mini-English
ezje7,5,digit_span,9.009983333333333,584,13,Mini-English
finc3,5,digit_span,8.173033333333333,485,14,Mini-Norwegian
fkft1,5,digit_span,9.97585,583,43,Mini-English
fqrf6,5,digit_span,12.896216666666668,587,12,Mini-Norwegian
fwma9,5,digit_span,10.237133333333333,560,39,Mini-English
gjop6,5,digit_span,11.94485,586,32,Mini-Norwegian
gxac7,5,digit_span,12.915033333333334,587,15,Mini-English
hcqa8,5,digit_span,11.28545,587,8,Mini-Norwegian
hymj4,5,digit_span,11.629233333333334,584,37,Mini-English
idyh6,5,digit_span,11.289466666666666,584,38,Mini-Norwegian
jlos1,5,digit_span,11.169766666666666,586,55,Mini-English
jpxp4,5,digit_span,12.2865,585,6,Mini-Norwegian
kixs9,5,digit_span,15.432316666666667,584,48,Mini-Norwegian
ksjo8,5,digit_span,9.9023,585,17,Mini-English
kvrn1,5,digit_span,11.2218,580,44,Mini-Norwegian
kwly7,5,digit_span,9.696566666666667,583,60,Mini-Norwegian
ltsl3,5,digit_span,9.755216666666668,583,18,Mini-Norwegian
mrbf1,5,digit_span,10.297416666666667,585,33,Mini-English
mtjw7,5,digit_span,10.392916666666666,570,57,Mini-English
mvse0,5,digit_span,9.921066666666666,583,52,Mini-Norwegian
noyy6,5,digit_span,11.428816666666666,581,25,Mini-English
pson3,5,digit_span,1452.944,589,5,Mini-English
pwck3,5,digit_span,11.851366666666667,583,50,Mini-Norwegian
qdvg4,5,digit_span,14.933216666666667,584,7,Mini-English
qlhb2,5,digit_span,12.6804,585,27,Mini-English
rodf4,5,digit_span,9.365233333333334,559,58,Mini-Norwegian
rsnb6,5,digit_span,11.014416666666667,583,65,Mini-English
rvax5,5,digit_span,10.665916666666666,583,16,Mini-Norwegian
sjnh6,5,digit_span,11.5077,584,49,Mini-English
swbd5,5,digit_span,9.6385,583,47,Mini-English
sxhv6,5,digit_span,11.340783333333333,583,53,Mini-English
trpu0,5,digit_span,11.139183333333333,584,51,Mini-English
usjs8,5,digit_span,10.041933333333333,584,29,Mini-English
uwfo3,5,digit_span,11.572583333333334,585,61,Mini-English
uyxx3,5,digit_span,9.754666666666667,583,11,Mini-English
